data_hora,Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
2023-08-13,25.05636040547571,25.631648987114275,23.585714285714285,34.333333333333336,37.845238095238095,33.04761904761905,7.045238095238095,7.889285714285715,6.480952380952381,890.2369047619047,890.5416666666666,890.0059523809524,2.884146316350833,110.0,6.340476190476191,1670.2988095238095,0.0
2023-08-20,23.43095238095238,24.086904761904762,22.263095238095236,42.035714285714285,45.55952380952381,40.464285714285715,9.18452380952381,9.764285714285714,8.655952380952382,888.0333333333334,888.352380952381,887.7928571428572,3.184581806195356,143.5,7.030105795012817,1457.475,0.0
2023-08-27,25.83452380952381,26.901785714285715,24.615476190476187,43.26190476190476,47.625,39.69047619047619,11.15952380952381,12.083333333333334,10.30952380952381,886.3,886.6279761904761,886.0577380952382,2.278193935398452,198.2797619047619,5.64702380952381,1291.2583333333332,0.0071428571428571435
2023-09-03,24.585714285714282,25.160714285714285,23.626190476190477,60.976190476190474,65.82142857142857,58.773809523809526,15.852380952380951,16.607142857142858,15.274999999999999,888.7261904761905,889.117857142857,888.4833333333333,2.2916666666666665,119.6547619047619,5.478571428571429,1423.0440476190477,0.04523809523809524
2023-09-10,25.636904761904763,26.264285714285712,24.549999999999997,41.86904761904762,46.023809523809526,40.07142857142857,11.002380952380953,11.847619047619048,10.35357142857143,889.3452380952381,889.6654761904762,889.1226190476191,2.944541105563688,102.20238095238095,6.839118149056164,1861.5559523809525,0.0
2023-09-17,25.794047619047618,26.455952380952382,24.601190476190474,41.98809523809524,46.67857142857143,39.785714285714285,11.198809523809524,12.161904761904761,10.426190476190476,888.3880952380953,888.7285714285714,888.1404761904762,2.778193935398452,120.55952380952381,6.689285714285714,1676.1976190476191,0.0
2023-09-24,28.696428571428573,29.276190476190475,27.49642857142857,30.773809523809526,34.107142857142854,29.333333333333332,9.163095238095238,10.098809523809523,8.35357142857143,887.2511904761906,887.5904761904762,887.075,2.5595238095238093,118.33333333333333,5.980952380952381,1951.054761904762,0.0
2023-10-01,27.767857142857142,28.529761904761905,26.58452380952381,49.416666666666664,54.32142857142857,46.857142857142854,15.423809523809522,16.25952380952381,14.75952380952381,885.820238095238,886.1928571428571,885.602380952381,2.0821428571428573,190.92857142857142,5.301022910960925,1574.420238095238,0.0
2023-10-08,25.69404761904762,26.501190476190477,24.56190476190476,61.166666666666664,66.96428571428571,57.04761904761905,17.23452380952381,18.178571428571427,16.29642857142857,886.3095238095239,886.6904761904761,886.0428571428572,1.8214285714285714,151.0952380952381,4.7397971697661765,1393.4559523809523,0.3452380952380952
2023-10-15,27.569642857142856,28.29047619047619,26.354166666666668,51.214285714285715,56.63690476190476,48.01190476190476,16.02261904761905,17.008333333333333,15.24047619047619,887.477380952381,887.8321428571428,887.2321428571429,2.761904761904762,126.92857142857143,6.61063050309951,1860.6458333333333,0.01666666666666667
2023-10-22,27.80714285714286,28.461904761904766,26.654761904761905,41.666666666666664,46.54761904761905,39.30952380952381,12.660714285714286,13.782142857142858,11.89642857142857,887.3464285714286,887.7249999999999,887.125,2.7654761904761904,104.13095238095238,6.800000000000001,2107.254761904762,0.08095238095238096
2023-10-29,26.33214285714286,27.151785714285715,25.178571428571427,58.267857142857146,63.767857142857146,54.220238095238095,16.661309523809525,17.66488095238095,15.78095238095238,884.6660714285714,885.0797619047619,884.4595238095238,2.3345238095238097,192.75,5.788439128346149,1609.0970238095238,0.33571428571428574
2023-11-05,25.791666666666668,26.698809523809523,24.674999999999997,63.80952380952381,69.88095238095238,59.083333333333336,17.826190476190476,18.78333333333333,16.95714285714286,884.6642857142857,885.0416666666666,884.4047619047619,2.2627177449222615,160.03571428571428,5.644559074528082,1778.4464285714287,0.37142857142857144
2023-11-12,28.245238095238093,28.758333333333333,26.966666666666665,40.226190476190474,45.726190476190474,38.11904761904762,12.351190476190476,13.670238095238094,11.355952380952381,886.6988095238095,887.020238095238,886.5178571428571,2.8178571428571426,89.95238095238095,6.610714285714285,2230.6285714285714,0.0
2023-11-19,29.265084964642618,30.29047619047619,28.066666666666666,41.726190476190474,47.285714285714285,38.654761904761905,14.083333333333334,15.272619047619049,13.138095238095238,884.8583333333333,885.2416666666667,884.6535714285714,2.406387870796904,203.23809523809524,5.986737196675211,2035.5440476190477,0.007142857142857143
2023-11-26,24.904761904761905,25.795238095238098,23.78452380952381,68.26190476190476,74.29761904761905,63.48809523809524,18.139285714285716,19.072619047619046,17.246428571428574,886.3583333333333,886.7761904761904,886.0726190476191,2.3909116803207136,170.22619047619048,5.666331536207564,1540.854761904762,0.5547619047619048
